id,text,offensive_aggregated,offense_a1,offense_a2,offense_a3,offense_a4
0,STEM LIJST 13 URL,NOT,NOT,NOT,NOT,NOT
1,"@USER @USER @USER en dan nu achterste voren spellen aub of van achter naar voor oid .. :flushed_face: :rat: maarre de nos is toch feitelijk @USER en @USER is @USER en wie @USER zegt , zegt stront, en wie stront denkt kijkt naar de anus van @USER tochhh?!!!!!! of clit van öllengren? :face_screaming_in_fear: :rat: ",OFF,,,,
2,Als je neukt voor geld alle ja URL,OFF,OFF,NOT,OFF,NOT
3,"@USER Ze doen net of ze zo schijnheilig zijn,hoeveel blanken worden er niet vermoord al dan niet door agenten maar dan demonstreren ze niet,deze lui zijn gek",OFF,,,,
4,"@USER @USER Nu is het wel zo dat zwarte mensen niet vaak dingen uitdelen maar vooral nemen, doen ze bij de omroepen ook we betalen en geven geld en wat krijgen we rotzooi.",OFF,,,,
5,"@USER @USER @USER Lees jezelf in, mafkees. Jij maakt jezelf belachelijk. Ben net een paar tellen bezig en weet al waar het om gaat. Maar deugers zoals jij nemen beperkt info tot zich. Gezien hoe dat met de gele hesjes in Frankrijk eraan toe ging?",OFF,,,,
6,@USER Ga aanstaande zondag naar de opendeur bij URL,NOT,NOT,NOT,NOT,NOT
7,"@USER Absoluut mee eens. Journalistiek draait om het woord "" onafhankelijk "" en daar is in NL al lang geen sprake meer van.",OFF,OFF,NOT,OFF,OFF
8,@USER Frr ge moest al 3 kinderen hebbn gij wadoejj hiernog? :face_blowing_a_kiss: :face_blowing_a_kiss: :face_blowing_a_kiss:,NOT,NOT,NOT,NOT,NOT
9,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Ook voor jullie :thumbs_up: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: ,NOT,NOT,NOT,NOT,NOT
10,"Verwacht je aan Thibault in pure extase en aan een veelvoud van ""maar tjeeeeezes check die graphics toch eens!"" want hij zet zijn eerste stapjes in #GodOfWar! URL",NOT,NOT,OFF,NOT,NOT
11,@USER @USER @USER @USER @USER Vlak voor Corona nog geweest. #geweldiggenoten URL,NOT,NOT,NOT,NOT,NOT
12,@USER Dat gaat ook niet gebeuren.... Het is voornamelijk bedoelt om elementen als CIA en NED er uit te krijgen. Fascistische black clad thugs die niets om democratie geven kunnen ook aangepakt worden. Heeft niets met communisme te maken.,OFF,NOT,OFF,OFF,NOT
13,"@USER Ach Ascha ten Broeke wie neemt die nog serieus. Het gezellige dikkertje dat propogandeerde dat dik zijn, wat extra vet niet erg is en dat we gewoon lekker ongezond moeten eten wanneer we dat willen. En nu klagen over de kwetsbaren wat juist diegene zijn met teveel vetcellen.",OFF,,,,
14,"Volg account @USER voor #winkel #vacatures in de provincie Limburg, nu (1/6) 18 vacatures online! #asksteveforjobs URL",NOT,NOT,NOT,NOT,NOT
15,@USER @USER @USER @USER @USER Zo hé! Nou dát was een rake zeg! Zo slim ook. Echt... Mensen als jij zullen snel moeten inzien dat ze meelopen met de grote club van de verliezers. Kinderachtig uitzichtloos.,OFF,,,,
16,"@USER Mensen zijn soms dogmatisch, en willen in hun eigen overtuigingen blijven geloven. Dat verklaart immers waarom een aanzienlijk deel van de wereld gelovig is. Genoeg van die mensen hebben prima toegang tot de juiste informatie maar willen die blijven verwerpen. Als dat in ...",NOT,NOT,NOT,NOT,NOT
17,@USER @USER Oh? Dus constateren dat *u* een racist bent is volgens u *uitlokking? Knap...,OFF,,,,
18,Het topstuk volgens curator Katlijne Van der Stighelen: Agnes en Dorothea #michaelinawautier #michaelina #barok #barokjaar #vlaamsemeesters #cultuur #antwerpen @USER URL,NOT,NOT,NOT,NOT,NOT
19,ABVV waarschuwt regering voor algemene staking URL,NOT,NOT,NOT,NOT,NOT
20,@USER @USER Ik blijf het apart vinden dat er juist steeds meer geld naar de zorg gaat en ze dat dan 'bezuinigen' noemen. URL,NOT,NOT,NOT,NOT,OFF
21,Ik zit in de trein en crave naar een sigaret.,NOT,NOT,NOT,NOT,NOT
22,"@USER @USER Ze laten je als verblijfsgast extra betalen voor iets waarvoor je al betaald hebt (de avondentree kost 25 euro pp). Ze passen eenzijdig het aanbod aan. Ze kunnen leveren wat beloofd is: onbeperkte entree voor die mensen die daar al voor betaald hebben. Geen overmacht, maar keuze",NOT,NOT,NOT,NOT,NOT
23,Op weg naar huis na opnieuw een bewogen week #liegeattack De moed en samenhorigheid van de Luikse collega’s in deze moeilijke omstandigheden is een voorbeeld voor ons allemaal om verder te werken in de strijd tegen terrorisme! #unitedwestand,NOT,NOT,NOT,NOT,NOT
24,"@USER @USER @USER @USER Extreem links en rellen gaat hand in hand. Smerig tuig is het. Doe niet zo onnozel aub. Kijk maar naar de Twitter beelden wie deze rellen veroorzaken. Blank, links extremistisch tuig!",OFF,,,,
25,@USER en terecht ! wie wil nu #zonnepanelen geproduceerd met de meest vervuilde bruinkoolcentrales waar mensen ( kinderen) onder meest slechte omstandigheden werken. Heel duurzaam! Zouden ze met veel meer producten uit China moeten doen.,OFF,OFF,NOT,OFF,OFF
26,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Guacamole! Uit de tijd dat CNN nog leuk was: URL,NOT,NOT,NOT,NOT,OFF
27,@USER als we bts live zien maar dat duurt nog lang ik haat miss corona met heel mn hart,OFF,,,,
28,Eerste deel van een nieuwe serie historische romans. Wat kan een vrouw – slechts een gouvernante – doen tegen de gesel van de slavernij? Lees verder: URL,NOT,NOT,NOT,NOT,NOT
29,@USER OMDAT VROUWEN MOEILIJKE WEZENS ZIJN (buik van vol),OFF,OFF,OFF,OFF,OFF
30,@USER Het waren natuurlijk weeer grunbergers :thinking_face: ,NOT,NOT,NOT,NOT,OFF
31,@USER Serieus? Kwetst de waarheid? Wie denkt u dat mazelen en TBC terug in ons land gebracht heeft en dan hebben we nog veel geluk gehad. Elke dag voor Corona komen hier mensen ons land binnen waar we niets van weten dus die hypocrisie over onze volksgezondheid is belachelijk.,OFF,,,,
32,a2 stp renkum utrechtseweg renkum 6871DP 79915 | Ambulance met gepaste spoed naar Utrechtseweg in Renkum | URL,NOT,NOT,NOT,NOT,NOT
33,"@USER @USER @USER @USER @USER Eens, zijn al ruim een jaar bezig met een aanvraag jeugdhulp. Een jaar lang gesprekken en onderzoek en nog kan men niet beslissen. Dan maar bij de rechter!",NOT,NOT,NOT,NOT,NOT
34,"Rijke #ouderen Schaamteloos zet de regering #Rutte het #CBS in om wat ""feitjes"" rond te strooien die de verkiezing beinvloeden. #50plus",OFF,OFF,NOT,NOT,OFF
35,"@USER @USER @USER @USER Fucking clown, zwarte piet word racistisch ERVAREN ! en dat komt slechts door onwetenheid",OFF,,,,
36,Hoorde dit net van een vriend...gisteren 3 a 4 recherche auto's richting met zwaailichten en sirene's OB..plein richting Turkenburg...niets bij p2000 of 112...hij was ooggetuige..hoe zit dat @USER,NOT,NOT,NOT,NOT,NOT
37,#beperking toveren we vandaag om in #uitdaging @USER @USER #oogverenigingwerkt #DagvandeArbeid,NOT,NOT,NOT,NOT,NOT
38,Toch blijf ik het ernstig vinden dat een jongere van 18+ die geen inkomen heeft toch € 17.50 moet betalen! URL,NOT,NOT,NOT,NOT,NOT
39,Opzoek naar een ruim huis in een gezellige jonge buurt in de regio Gouda/Rotterdam?? URL,NOT,NOT,NOT,NOT,NOT
40,"@USER @USER @USER Denemarken als voorbeeld??? Nee dank u, dan blijven kinderen wel thuis. URL",NOT,NOT,NOT,NOT,NOT
41,@USER @USER We kunnen ook mensen doodmaken eens kijken of dat je dan ook een nerts voelt.,NOT,OFF,NOT,NOT,NOT
42,Moeten scholieren verplicht leren programmeren? URL,NOT,NOT,NOT,NOT,NOT
43,@USER @USER Ik kan Cor zijn reactie niet lezen. Slotje. URL,NOT,NOT,NOT,NOT,NOT
44,"@USER @USER Goed zo @USER dat doe je wijs,ze komt jou even vertellen wat je moet doen nadat ze je vals beschuldigd,ik zou ze ook niet moeten.",NOT,NOT,NOT,NOT,OFF
45,"Onderweg naar Prince2 cursus @USER in Utrecht, wie zie ik daar?",NOT,NOT,NOT,NOT,NOT
46,@USER BMR heeft een bijwerking als het op zenuw weefsel word in gespoten dat het de boel laat onsteken en zo meer synapsen veroorzaakt via het repair systeem. Dit slimmer maken van mensen heeft zn voordelen maar heeft ook zeer zeker zn Nadelen. Mensen killen Mensen en dat blijft.,NOT,NOT,NOT,NOT,NOT
47,"@USER @USER Jaa natuurlijk hebben we 'm ingekocht! Hij komt met een buikbandje natuurlijk, en ik ga ook een aanbevelingsscherm maken. En hij komt in de maandelijkse YA nieuwsbrief! Ja, als we fan zijn, dan kun je er niet omheen bij ons in de winkel :)",NOT,NOT,NOT,NOT,NOT
48,@USER @USER Wat een trut! Koude klootzakjes. Zogenaamde gelijkheid maar dan wel via ongelijkheid. Ik wil echte gelijkheid ipv dit soort hypocriete klootzakjes! URL,OFF,,,,
49,"@USER ik heb er al veel gehad...van Menzis, naar VGZ en nu bij DSW. En geen enkele verzekeraar is lief. Allemaal oplichters en graaiers!",OFF,,,,
50,"links....zo rollen ze...noemen andere racist en antisemiet, terwijl ze zelf op het as van Anne Frank dansen..#pvv URL",OFF,OFF,OFF,OFF,OFF
51,"Dus zo gaat Twitter om met je reacties... Blijkbaar heb ik 5 reacties, maar als ik op mijn tweet klik, zijn ze niet te vinden? link: URL",NOT,NOT,NOT,NOT,NOT
52,@USER Ik ben kk lelijk ga me niet voor niets blij maken a zebi,OFF,,,,
53,"@USER @USER @USER @USER @USER @USER @USER Ik heb al voorgesteld om er een golfbaan van te maken, vanwege de bunkers die er al liggen. Golfbanen hebben graag kort gras, dus hier en daar een beetje inzaaien en klaar. Want veel meer staat er niet als een berg drek.",NOT,NOT,NOT,NOT,NOT
54,"@USER Vraag me af wat knapper is: James' pad (sinds 11e in schijnwerpers, elk jaar beter geworden) of Curry (van weinig naar dit)",OFF,,,,
55,Slavernij-quote komt terug op nieuwe album Kanye West URL,NOT,NOT,NOT,NOT,NOT
56,Niet gemakkelijk die GL puzzel. 1.Jesse 2.? 3.Tofik 4.Wiegel 5.Femke 6.JESSE 7.TOFIK 8.Gerard 9.Jeroen Volgens mij heb ik ze goed.\o/ \o/ URL,NOT,NOT,NOT,NOT,OFF
57,"[ICT&amp;Health] : Nieuwe topman CZ: zorgbeleid moet anders, digitalisering niet altijd oplossing URL",NOT,NOT,NOT,NOT,NOT
58,@USER @USER @USER @USER Doen ze niet. Durven ze niet. Het zijn slechts domme haatvolle haatgollems die haatzaaien.,OFF,,,,
59,Eerste interview in een serie over gevolgen van Corona in landen met actieve landbouwraden: opwaardering eigen agrosector in Zuid-Korea #Agrobericht URL,NOT,NOT,NOT,NOT,NOT
60,heb ik ook bij @USER de hele avond verslagen van alle duels en dan in het nieuws: de uitslagen. Hebben ze niks beters??,NOT,NOT,NOT,NOT,NOT
61,#vacature #amsterdam Webanalist: Wij zijn voor ons Webteam op zoek naar een webanalist. Verantwoordelijkheden ... URL,NOT,NOT,NOT,NOT,NOT
62,@USER Dam zo,NOT,NOT,NOT,NOT,NOT
63,URL,OFF,OFF,NOT,OFF,OFF
64,@USER Als ik het verdiend zou hebben zou ik dat ook doen hoor :face_with_tears_of_joy: ,NOT,NOT,NOT,NOT,NOT
